artist,title,date,genre,lyrics
Flo Rida,My House,2015.04.07,랩/힙합,"""[Intro]Open up the champagne, pop!It's my house, come on, turn it up[Verse 1]Hear a knock on the door and the night beginsCause we done this before so you come on inMake yourself at my home, tell me where you beenPour yourself something cold, baby, cheers to this[Pre-Chorus]Sometimes you gotta stay inAnd you know where I liveYeah, you know what we isSometimes you gotta stay in, in[Chorus]Welcome to my houseBaby take control nowWe can't even slow downWe don't have to go outWelcome to my housePlay that music too loudShow me what you do nowWe don't have to go outWelcome to my houseWelcome to my house[Verse 2]Morning comes and you know that you wanna stayClose the blinds, let's pretend that the time has changedKeep our clothes on the floor, open up champagneLet's continue tonight, come on, celebrate[Pre-Chorus] + [Chorus][Verse 3]Welcome to my [?]. the crib, the spot, the padBut my house is your house if you throwin' it backExcuse me if my home [?]Soon as these happy faces [?] you can run with the cashHomerun, slam dunk, touchdown, passMi casa es tu casa so it ain't no holding backAnother shot of vodka, you know what's in my glassIt's my house, just relax[Chorus]Welcome to my houseIt's my house""
"
"Tyler, The Creator",Who Dat Boy (Feat. A$AP Rocky),2017.07.21,랩/힙합,no lyrics
The Kid LAROI,WITHOUT YOU (Miley Cyrus Remix),2021.04.30,랩/힙합,Yeah yeah yeahYou cut out a piece of meand now I bleed internallyLeft here without you without youAnd it hurts for me to thinkabout what life could possiblybe likeWithout you without youI can't believethat you would up and leave meFuck all of your reasonsWoah woahI lost my shityou know I didn't mean itNow I see ityou run and repeat itAnd I can't take it backso in the past iswhere we'll leave it huhSo there I go ohCan't make a wife out of a ho ohI'll never find the words to sayI'm sorryBut I'm scared to be aloneYou cut out a piecе of meand now I bleed internallyLeft hеre without youNo no nowithout you OohAnd it hurts for me to thinkabout what life couldpossibly be likeWithout you No no nowithout you No noOh-oh woah oh-oh woahOh-oh woah oh-oh woahWithout you without youOh-oh woah oh-oh woahOh-oh woah oh-oh woahWithout you Without withoutwithout without youFeels like sleepin' with a ghostI called you up to let you knowI really wishthat we coulda got this rightSo here I go ohCan't make a wife out of a hooh NoI'll never find the wordsto say I'm sorryBut I'm scared to be alone OhYou cut out a piece of meand now I bleed internallyLeft here without youNo no nowithout you OohAnd it hurts for me to thinkabout what life couldpossibly be likeWithout you No no nowithout you No noOh-oh woah oh-oh woahOh-oh woah oh-oh woahWithout you without you
Kanye West,Can't Tell Me Nothing,2007.09.11,랩/힙합,La la la laWait 'til I get mymoney rightI had a dreamI could buy my way to heavenWhen I awoke I spentthat on a necklaceI told God I'd be backin a secondMan it's so hard notto act recklessTo whom much is givenmuch is testedGet arrested guessuntil he get the messageI feel the pressureunder more scrutinyAnd what'd I doAct more stupidlyBought more jewelryMore Louis VMy mama couldn't getthrough to meThe drama people suing meI'm on T V talking likeit's just you and meI'm just sayinghow I feel manI ain't one of the Cosby'sI ain't go to HillmanI guess the money should'vechanged themI guess I should've forgotwhere I came fromLa la la laWait 'til I getmy money rightLa la la laThen you can't tell menothing rightExcuse me isyou saying somethingUh uh you can'ttell me nothingYou can't tell me nothingUh uh you can'ttell me nothingLet up the suicide doorsThis is my life homieyou decide yoursI know that Jesusdied for usBut I couldn't tell youwho decide warsSo I parallel double parkedthat mother fker sidewaysOld folks talking 'boutback in my dayBut homie this is my dayClass started two hours agooh am I lateNo I already graduatedAnd you can live throughanything if Magic made itThey say I talk withso much emphasisOoh they so sensitiveDon't ever fix your lipslike collagenThen say something whereyou gon end up apolog'inLet me know ifit's a problem thenA'ight man holla thenLa la la laWait 'til I getmy money rightLa la la laThen you can't tell menothing rightExcuse me isyou saying somethingUh uh you can'ttell me nothingYou can't tell me nothingUh uh you can'ttell me nothingLet the champagne splashLet that man get cashlet that man get pastYou don't need tostop to get gasIf he can move throughthe rumorshe can drive off fumesCause how he move in a roomfull of No'sHow he stay faithfulin a room full of hoesMust be the pharoahshe in tune with his soulSo when he buried ina tomb full of goldTreasure what'syou pleasureLife is a uh dependinghow you dress herSo if the devil wearprada Adam Eve wear nadaI'm in between but waymore fresherBut way less effortcause when you try hardThat's when you die hardYa'll homies looking likeWhy GodWhen they reminisce overyou my GodLa la la laWait 'til I getmy money rightLa la la laThen you can't tell menothing rightExcuse me isyou saying somethingUh uh you can'ttell me nothingYou can't tell me nothingUh uh you can'ttell me nothingLa la la laWait 'til I getmy money rightLa la la laThen you can't tell menothing right 
21 Savage,ball w/o you,2018.12.24,랩/힙합,no lyrics
Polo G,Go Stupid,2020.02.14,랩/힙합,no lyrics
G-Eazy,Breakdown (Feat. Demi Lovato),2021.09.17,랩/힙합,no lyrics
ScHoolboy Q,Man Of The Year,2014.01.01,랩/힙합,no lyrics
Big Sean,Moves,2017.02.03,랩/힙합,no lyrics
Tyga,VACATION,2020.06.19,랩/힙합,CashMoneyAPUh WooBitch why you keepon calling meBlowing my phoneit's on vibration YeahI've been going so hardparty like a rockstarI need a vacation YeahSitting at the topniggas wanna take shotsThey just want my situationWooI need a vacationniggas wanna test my patienceNiggas wanna pop offcome on take the top offNigga this inspirationT-Raw movie starHow dawgGot a few actress in rotationMight gotta run for the manneed a Hollywood starNigga stop debatin'Diamonds on me hydrationI'm the shit exclamation BihNiggas wanna be like Mikefly like MikeWanna be cold as iceWanna take flightfrom the free-throwNiggas ain't cut-throatnigga I roll the dice2-4-7-3-6-5 nigga I shine'cause I grind like every nightWoah vibe oh my AyyBitch why you keep on calling meBlowing my phoneit's on vibration YeahI've been going so hardparty like a rockstarI need a vacation YeahSitting at the topniggas wanna take shotsThey just want my situation WooI need a vacationniggas wanna test my patienceWoah vibe oh myI've been going so hardparty like a rockstarI need a vacationWoah vibe oh mySitting at the topniggas wanna take shotsThey just want my situationI need a trip to Jamaica YeahBaddy in the waterno makeup YeahI need a house on the sandforty acres in the backMatter fact no neighbours WooI'm a black rain makerex heartbreakerNiggas overslept on menow it's time they wake upLookin' for a favoron a boat full of hatersTryna float I am not a lifesaverLook at the flow Ayylook at the dough AyyLook at my glow AyyWho can I trust AyyWho can I love Ayy ayyMeI need confirmation YeahBig standing ovation YeahMillion dollar conversationsYeahOn the line with Live NationAyy GoddamnBitch why you keep on calling meBlowing my phoneit's on vibration YeahI've been going so hardparty like a rockstarI need a vacation YeahSitting at the topniggas wanna take shotsThey just want my situation WooI need a vacationniggas wanna test my patienceWoah vibe oh myI've been going so hardparty like a rockstarI need a vacationWoah vibe oh mySitting at the topniggas wanna take shotsThey just want my situationI need a vacationI need a vacation
Future,Worst Day,2022.02.11,랩/힙합,Valentine's is the worst dayValentine's Day the worst daygot too many to pleaseI popped a half a pink pilland put my mind at easeI bought you all these giftschain your heart all in piecesTry to pass out new whipsyeah but all you want is meGot a Glock under her pillowshe blowin' for my gangNot tryna lie to youI don't wanna explainTook off on a storerun and jumped on a planeEvery single birthdayanother private locationValentine's Day the worst daygot too many to pleaseSpent over a hunnit Gs andshe still wasn't pleasedI done gave her a hundred Gsall she want is meIt's a treat when we meet upwhenever we meetShe just want me to be thereon February 14I come through and I get a chancebut you gotta be briefTote a LV briefcaseI'm just keeping it a GMade it out the trenchesgot more stripes than a zebraWhen you got more than onetwo three four five six bitchesValentine's Day the worst daywhen a nigga richGot more than one got Catholicsgot ChristiansGot a Muslim got Egyptiansthey saying they miss meWon't settle for no quickiegot 'em waiting up in they vickiesI leave out and go missingI done traveled a long distancebought a house in another cityTried to talk to youbut I know you won't get itI know if it don't kill youyou gon' feel itValentine's Day the worst daygot too many to pleaseI popped a half a pink pilland put my mind at easeI bought you all these giftschain your heart all in piecesTry to pass out new whipsyeah but all you want is meGot a Glock under her pillowshe blowin' for my gangNot tryna lie to youI don't wanna explainTook off on a storerun and jumped on a planeEvery single birthdayanother private locationThrough the laughin' and the cheerin'prayin' for a better dayI'm gettin' mine gettin' it insmashin' on accelerationDo it times ten upper echelonheavyweightWorkin' out my differenceswith hard work and dedicationLong distance in and outwhenever we link upTrench to the floorkeep a ho to pick my mink upMake reservationsjust to check in my coatMy inspirationnever let it drag on the floorI'm turnin' up some moreI done been too damn brokeFeel like I'm God levelso many chicks I adoreAvoidin' the hurtridin' in circles in a AventadorChoose one andyou gon' make the other onesfeel less importantValentine's Day the worst daygot too many to pleaseToo many to pleaseI popped a half a pink pilland put my mind at easePut my mind at easeI bought you all these giftschain your heart all in piecesChain your heart all in piecesTry to pass out new whips yeahbut all you want is meAll you want is meGot a Glock under her pillowshe blowin' for my gangBlow for my gangNot tryna lie to youI don't wanna explainDon't wanna explainTook off on a store run andjumped on a planeJumped on a jetEvery single birthdayanother private locationPrivate locationOh oohForever my lady Woo oohForever my lady Woo oohValentine's Day the worst daygot too many to pleaseI popped a half a pink pilland put my mind at easeI bought you all these giftstear your heart all in piecesHad to pass out new whipsyeah but all you want is meValentine's Day the worst day
Tyla Yaweh,All the Smoke (Feat. Gunna & Wiz Khalifa),2020.12.18,랩/힙합,Hitmaka Sound Ayy Benjamin he got benjaminsFast car I want all the smokeYeah yeah yeah yeah all the smokePorsche 911 can't see me no moreI be up high but I want some moreFast car I want all the smokeYeah yeah yeah yeah all the smokePorsche 911 can't see me no moreI be up high but I want some moreFast car I want all the smokeYeah all the smokePorsche 911 can't see me no moreI be up high but I want some moreYeah in a Porsche yeah Aventador yeahShe might wanna ride but it better be a foreign yeahMake it roar yeah yeahSaid her ex was a joker no locked doorsTakin' what you want from meTell a bitch Throw it back like it's all yoursLock it up and throw the keySpeed it up like a NASCAR AutosportFast car I want all the smokeYeah yeah yeah yeah all the smokePorsche 911 can't see me no moreI be up high but I want some moreFast car I want all the smokeYeah all the smokePorsche 911 can't see me no moreI be up high but I want some moreSpeedin' in that PorscheLivin' life fast I'm goin' all around the courseAin't no competition got the ball in my courtScreamin' fuck the opposition every time that we scoreI'm the one and only with the rawest reportI ain't crossed no twenties like I bought from the storeGunna bought her Pucci and that Juicy CoutureWe made a rated movie had her pussy a lil' sore I can't wait to go back on tourI copped a new toyThey gon' see the smoke I changed the mode sportMaybach to the yacht left in a Rolls RoyceSee them haters they done left me no choiceShe love me and she say I make her so moistFast car I want all the smokeYeah yeah yeah yeah all the smokePorsche 911 can't see me no moreI be up high but I want some moreFast car I want all the smokeYeah all the smokePorsche 911 can't see me no moreI be up high but I want some more OkayDippin' dodgin' in and out a new FerrariI don't want her she be fuckin' anybodyIf I'm in then I'ma drop the top on thatYeah she got a fatty but her top is whackI might hit her bestfriend I'm somethin' like a legendI'm smokin' on that kush and you can tell by how it's smellin'Say she got a curfew gotta be in by elevenIf I roll up all this weed up better make sure you inhale itFast car I want all the smoke UhYeah yeah yeah yeah all the smoke You don't know when you gon' get that pack again girlPorsche 911 can't see me no more You better treat it right yepI be up high but I want some moreFast car I want all the smokeYeah all the smokePorsche 911 can't see me no moreI be up high but I want some more
Lil Mosey,Enough,2021.02.12,랩/힙합,Show me what you made ofI know she finna ridewhy you hate usThinkin' it's better you not famousNobody speak our languageRolls-Royce slidin'love when I see you smilin'Just know it's gon' be alright thenLike whose business they mindin'I'm like I'm likeWhat you wanna doLet's set the moodworry 'bout whoDon't matter who'cause I rock wit' youDon't need their loveI just feel your loveI just need your trustBaby when you do thatyou know it's not enoughFinna bring you back upI can't get enoughYeah I can't get enoughWhen you pull up on meI don't think you say enoughWhen you think about medo you think 'bout givin' upOh-oh-oh-oh show you a finer lifeOh-oh-oh-ohthis can't be our last nightWhen you walk inI forget about everyone elseAnd the bond we havecouldn't be with no one elseA little antisocialfeel better by ourselvesYeah we fight a littlebut really who could tellYou rememberwhen we went out to the CancunsI was tryna smooch it outlike it's CantuSaid Forgive me but be likeWhy can't youGot emotional for a secondthen you came throughNa-na-na-na-na-na-na-na-naKnow you love it when I sing to youBlah-blah-blah-blah-blahblah-blah-blah-blahMade it so farI know nothing can stop usWhen you pull up on meI don't think you say enoughWhen you think about medo you think 'bout givin' upOh-oh-oh-ohshow you a finer lifeOh-oh-oh-ohthis can't be our last nightOh-oh-oh-ohOh-oh-oh-ohOh-oh-oh-ohOh-oh-oh-oh
24KGoldn,DROPPED OUTTA COLLEGE,2019.11.22,랩/힙합,no lyrics
Ramz,Barking,2017.12.01,랩/힙합,"Yeah yeah yeah yeah yeahMokuba LivesYeah yeah yeah yeah yeahChorusI might link my ting from Barking7am in the morningShe's callin', I'm yawnin'She's jarrin', no stallin'I might link my ting from Barking7am in the morningShe's callin', I'm yawnin'She's jarrin', no stallin'I might link my ting from Barking7am in the morningShe's callin', I'm yawnin'She's jarrin', no stallin'I might link my ting from Barking7am in the morningShe's callin', I'm yawnin'She's jarrin', no stallin'Verse 1I'm icey, I got a tick from my head to my feet, that's NikeAnd that's priceyThem guys over there they ain't like meI got a Portuguese ting not wifeyShe said my temper's tinyI got two different worlds like MileyYou hit me up that's unlikelyBut I walked in the room with a fresh trimShowing my Colgate teethYeah they're looking like meSaying can I get a pic for the gram, just like AJ TNo wonder they hate on me'Cause I'm making P's and they see these clothesYeah I get 'em for freeChorusI might link my ting from Barking7am in the morningShe's callin', I'm yawnin'She's jarrin', no stallin'I might link my ting from Barking7am in the morningShe's callin', I'm yawnin'She's jarrin', no stallin'I might link my ting from Barking7am in the morningShe's callin', I'm yawnin'She's jarrin', no stallin'I might link my ting from Barking7am in the morningShe's callin', I'm yawnin'She's jarrin', no stallin'BridgeMany guys, many many many guysHate me and it's, true too badI just stunt on you, too bad I don't look like youLike many many many guysHate me and it's, true too badI just stunt on you, like too badChorusI might link my ting from Barking7am in the morningShe's callin', I'm yawnin'She's jarrin', no stallin'I might link my ting from Barking7am in the morningShe's callin', I'm yawnin'She's jarrin', no stallin'I might link my ting from Barking7am in the morningShe's callin', I'm yawnin'She's jarrin', no stallin'I might link my ting from Barking7am in the morningShe's callin', I'm yawnin'She's jarrin', no stallin'
"
Lil Baby,On Me,2020.12.04,랩/힙합,What's happenin' Chi Chi Fill the bando up with bags give the lil' bro and them a jobYou could come get rich with us you gon' eat or you gon' starveKeep a certified hitter sittin' I pay him not to robHop out 2020 Cullinan I'm ridin' in the starsKnow some people hate that I'm on top I bulletproof the carAll the members made free bands off packs live like they crackin' cardsJoe know for a fact I keep it real he still ain't take the chargeWhy she talkin' crazy 'bout me like I don't do more than my part I can't play with my creation give the world to my lil' boyI been savin' more than I been spendin' that's what I be onI'm a human I'm not pеrfect I know sometimes I bе wrongI'm like Come and put that pussy on me don't be runnin' from meIf I like it I spend money on it get whatever from mePut six figures in your business I do real shitI drop cash at the dealership they'll mail you a pink slipShe make sure she keep her nails did and her wig fixedWent to jail and that one held me down she a real bitchHundred rounds in the double drum this a Kel-TecMarco been in prison for a while but he still flexI told brodie them to park the car but they still wreckedI don't think nobody around still but I still checkI don't got a hundred mil' yet I can't chill yetBut don't get it misconstrued yeah I get real checksBaby fuckin' like a pornstar we have real sexHave nobody in our business we take LearjetsSay she like when I perform so I fuck her with my chains onAnd she handlin' her part so I let her play the main roleAin't have to get rich for these partnas still with the same folksAnd I can't beef with none of you niggas not in the same boatI'm never gon' get caught up about it know how the game goTennis chain bustin' look like rainbowsI'm like Come and put that pussy on me don't be runnin' from meIf I like it I spend money on it get whatever from mePut six figures in your business I do real shitI drop cash at the dealership they'll mail you a pink slipShe make sure she keep her nails did and her wig fixedWent to jail and that one held me down she a real bitchHundred rounds in the double drum this a Kel-TecMarco been in prison for a while but he still flexI'm like Come and put that pussy on me don't be runnin' from meIf I like it I spend money on it get whatever from me
A$AP Rocky,L$D,2015.05.21,랩/힙합,no lyrics
DJ Khaled,GREECE (Feat. Drake),2020.07.16,랩/힙합,We The Best MusicAnother oneDJ KhaledCome with meleave all of your things yeahWe can stop at Guccistop at Louis V yeahCome with mefly you out to GreeceFull speed survoler Paris yeahCome with meleave all of your things yeahWe can stop at Guccistop at Louis V yeahCome with mefly you out to GreeceFull speed survoler ParisSpeedboats baby in Nikki BeachWaves in my earssmokin' weed Oui ouiWhippin' through the sandin a Jeep Oui ouiAll because ofwhat I did on beats babyLife's sweet baby iced out babyYou just go get readywe go out babyLong time lookin'for the bounce yeahOZ had the bounce yeahCome with meleave all of your things yeahWe can stop at Guccistop at Louis V yeahCome with mefly you out to GreeceFull speed survoler ParisCome with meleave all of your things yeahWe can stop at Guccistop at Louis V yeahCome with mefly you out to GreeceFull speed je suis ton genieRolls Royce baby in Hidden HillsBags fullof hundred dollar bills Oui ouiJoggin' past your wifeand she get chills Oui ouiAll because of how I kept it realLife's sweet baby on a G-WagI get you anythingyou need baby yeahWorked for everything you seebabyOoh-wee baby oohCome with meleave all of your things yeahWe can stop at Guccistop at Louis V yeahCome with mefly you out to GreeceFull speed survoler ParisCome with meleave all of your things yeahWe can stop at Guccistop at Louis V yeahCome with mefly you out to GreeceFull speed survoler ParisMight just have to go in on thatNever fallin'why you makin' problemsI've been silentwhy you makin' problemsI'm a problembein' rich is not my faultYou decide who you thinkthe shit reside withI been quiet hardto miss me when I'm flyin'Gone out to Caicosshe can stay in my roomShe can stay in my roomand it ain't myI was tryna play it rightI was tryna treat you niceFunny how I had to stopSee me when I'm outsideWe ain't have a problemThen you went and found oneHow you gonna get a bagShe can't help but get attachedSee me when you're outsideSee me on the SouthsideI could tell you're sick inside'Cause she just wanna love meShe don't wanna leave meShe just wanna love meShe don't wanna leave me
Baby Keem,durag activity,2021.04.30,랩/힙합,no lyrics
Nicki Minaj,Moment 4 Life (Feat. Drake),2010.01.01,랩/힙합,"fly with the stars in the skies,I am no longer trying to survive,I believe that life is a prize,But to live doesn’t mean you’re alive,Don’t worry bout me and who I fireI get what I desire it’s my empireAnd yes I call the shots I am the umpireI sprinkle holy water upon a vampire, vampireAnd this very moment I’m kingThis very moment I slay Goliath with a sling,This very moment I bringPut it on everything that I will retire with the ring,And I will retire with the crown, Yes!No I’m not lucky I’m blessed, Yes!Clap for the heavyweight champ, Me!But I couldn’t do it all alone, We!Young Money raised me, grew up out in PaisleySouthside Jamaica, Queens and it’s crazycuz I’m still hood, Hollywood couldn’t change meshout out to my haters, sorry that you couldn’t faze meaint being cocky we just vindicated, best believe that when were doneThis moment will be syndicated, I don’t know this night just reminds meof everything that they deprived me of, kuhh!ppppp put ya drinks up, it’s a celebration every time we link upWe done did everything they can think ofGreatness is what we wanna brink up.I wish that I could have this moment for life, for life, for lifeCuz in this moment I just feel so alive, alive, aliveI wish that I could have this moment for life, for life, for lifeCuz in this moment I just feel so alive, alive, aliveyeahhyeaahhyeahh, ughWhat I tell ‘em hoes bow bow bow to me, drop down to ya kneesYoung Money the Mafia that’s word to Lil CeaseI’m in The Dominican Big Papi Ortizdoin’ target practice all these bitches just aiming to pleaseShoutout to the CEO 500 degreesshoutout to the OVO where we set for T’s, oooowN-ggas wanna be friends how coincidentalThis supposed to be our year we ain’t get the memoYoung King, pay me in gold40 got a bunch of weed he ain’t even rollThese n-ggas be droppin songs they ain’t even coldWeezy on top and that n-gga aint even home, yet!yeaah, be very afraid these other rappers getting bodied and carried awayf-ck it me and Nicki Nick gettin’ married todayAnd now you bitches that be hatin can catch a bouquet, owwyeah, you a star in my eyes, you and all them white girls party of fiveare we drinking a lil more I can hardly decideI can’t believe we really made it I’m partly surprised, I sweardaaam, this one for the books, man!I swear this shit is as fun as it looks, man!I’m really tryna make it more than what it is, cuz everybody dies but not everybody lives!I wish that I could have this moment for life, for life, for lifeCuz in this moment I just feel so alive, alive, aliveI wish that I could have this moment for life, for life, for lifeCuz in this moment I just feel so alive, alive, aliveThis is my moment, I waited all my life I can tell its timedrifting away I’m one with the sunsets, I have become alive.I wish that I could have this moment for life, for life, for lifeCuz in this moment I just feel so alive, alive, aliveI wish that I could have this moment for life, for life, for lifeCuz in this moment I just feel so alive, alive, alive"
Sam Ock,Distance (Feat. Ruth Cho),2016.08.20,랩/힙합,If I’m a bird You are the wind that lets me fly If I’m an instrument You are the beat that keeps my time If I’m behind the wheel I’m steerin’ right with you We’re gonna drive until the day is bright and new If I’m the one’s and two’s You are the record that I spin And when I’m feelin’ blue You are the home that takes me in And I won’t stop this train because I ride with you We’re gonna make it to the end yea me and you I will go the distance every road I will always love you With you I will grow we will go our journey In thunder and snow with you we make a good team When I’m paper thin You are the story that I write You and I we’ll win if I am wrong you make me right If we’re on the sea I’ll sail away with you we’re gonna go into the deep the ocean blue So let’s write a book every chapter and each page We will make our song every melody will play So let’s take a trip anywhere with you together we will go c’mon let’s move Even when the clouds are grey I’ll go with you every little one will play I’ll go with you Whether I might whether I may I’ll go with you we’re gonna make it to the end Even when the clouds are grey I’ll go with you every little one will play I’ll go with you Whether I might whether I may I’ll go with you we’re gonna make it to the end I will go the distance every road I will always love you With you I will grow we will go our journey In thunder and snow with you we make a good team I will go the distance every road I will always love you With you I will grow we will go our journey In thunder and snow with you we make a good team I will go the distanceevery roadI will always love youWith you I will growwe will go our journeyIn thunder and snowwith youwe make a good team
A$AP Rocky,Cocky (Feat. London On Da Track),2018.02.19,랩/힙합,no lyrics
Polo G,GANG GANG,2021.05.21,랩/힙합,UhSo used to them gray cloudsI might fuck arounddrop the top in the rainFor the squadwe don't play aroundwe'll lay him downhit his top close rangeHe just pretendhe not with the gang'Member back thenask an opp what he bangRunnin' from the jakesblock hot like I'm WayneSpend a quarter mil'on the watch and the chainI'm just tryna put a lockon the gameHot shit from this Glockwhen it flameYoung nigga up now 'member backthen niggas clowned on meNow from the Heaven gates onlyway a nigga lookin' down on meKeep at least two hundred thou'on mе keep at least likethirty rounds on meWith my niggas 'til thе wheelsfall off don't careif my ride on EGucci slides Versace robespalm trees exotic hoesSnitchin' he can't right hiswrongs once he playthat writin' roleSlime shit we wipe his nosefeds watchin' might strike a poseDo a hit take flight we gonewe just take the dice and rollSo used to them gray cloudsI might fuck arounddrop the top in the rainFor the squadwe don't play aroundwe'll lay him downhit his top close rangeHe just pretendhe not with the gang'Member back thenask an opp what he bangRunnin' from the jakesblock hot like I'm WayneSpend a quarter mil'on the watch and the chainI'm just tryna put a lockon the gameHot shit from this Glockwhen it flameSoon as I touch downthem pussy feds be hoton me WooHeard niggas got moneyall on my headtell 'em come crown the king HuhLet the work thaw outfor fourteen daysthat's quarantineYeahI'll pour my heart outbefore my lean babyno R&B YeahSix-six-deuce MOB Pirubig SooWoo slime my groupSlatt slatt slatt a-achoowipe his nose God bless youBlatt-blatt-blatt I'm not throughBratt-tat-tat duck duck gooseTwo big guns on me for the smokeThat's Uncle Snoopand Martha Stew'Call me Capalotty WooBig Slimalini YeahLil' Slime Gotti UhThat ain't the 'Ghinilil' bitch that's the 'Gatti SkrrtPromethazine need a PI'm the wild meI hide fettuccinefrom the federalesI'm like Rick Pitinoor John CalipariI'm leadin' my team yeah rightto the finalsThat money talkingand we talkin' privateI'm not correspondin' hold onGucci slidesand Versace robes OohI'll slide a niggaI'll slide a ho OohI banged on anybody gangAnd I ball with all my slime-inosOn gang gang on HollygroveNo plain jane I smoke ZarioAnd when the rain cameI put the top downUnder the dark cloudsI'm shining goldUsed to the gray cloudsI might fuck aroundand drop the top inthe rain Yeah yeahFor the squadwe don't play aroundwe'll lay him downhit his top close rangeTop close rangeHe just pretendhe not with the gang'Member back thenask an opp what he bangRunnin' from the jakesblock hot like I'm WayneSpend a whole mil'on the watch and the chainI'm just tryna put a lockon the gameHot shit from this Glockwhen it flame yeahPolo G Tunechi Lee yeah yeahCall me Capalotty
AUDREY NUNA,Comic Sans (feat. Jack Harlow),2019.12.06,랩/힙합,I make breakfastfor all my pretty foesand my boyfriendlook like DiCaprioI could strike a posefor ya poster broget the angle right thoway too much of methat’s an overloadRobitussin flowthat’s an overdosedie again to growthat’s the antidotethat’s a miraclethat’s the answer hoeapple in my throatserpent on the roadway too sensitiveand my hands are coldneed a petticoatfeel likecomicsansoverused for that paperby the gramfreddie i’m a killer queenyou lather me in kerosenethink i need a quarantinecuz i’m a walking halloweeni read it in the prophecyi need a antihistamineallergic to an evergreenand i’m a f--- phariseeyeh yehyeh yehyeh yeh yehthat’s the answer hoeyehyehyehRobitussin flowyehyehyehI don’t care too muchI don’t cry a lotInterviewer wonderif I’m high or notNeed an honest b---cuz I lie a lotShe ain’t gingerbut she got a fire crotchCan we turn this upto a higher notchThey don’t wanna dancethey just tryna to moshLet her f--- somebody elsecuz I’d like to watchIt’s icy hotIt’s icy hotAyI’m f--- upin the back of a jeepBad chick at the wheeland the passenger seatAin’t nobody with megot a bachelor’s degreeYou can skip mewhen you passing the weedCuz I enjoy the dreamsthat I have when I’m sleepBack in the cityand I’m back in the streetsWhen they see me out knowthey ask if it’s meAnd I sayyehback in the cityyehback in the cityyehback in the cityand I’m back in the streetsthat’s the answer hoeyehback in the cityyehRobitussin flowyehback in the cityyehback in the cityAnd i see in 5d likei’m ed edd and eddyi got the hot pot runningi’m a little unsteadyi told my grandmamai’ll be backwhen it’s readybut i’m a liartie the band on meand the polygraph goes haywirepolymath polyglotPaul wants a crackerbut i just pop poplike a lipsmackerethereum got upand i hit the ceilinggot up out the water feelingfeelin like popeye yeahfeelin like feelin likepopeye yeahmm f--- whole foodscuz i be feelinlike popeyes yeah uhfreddie i’m a killer queenyou lather me in kerosenethink i need a quarantinecuz i’m a walking halloweeni read it in the prophecyi need a antihistamineallergic to an evergreenand i’m a f---- phariseeyehback in the cityyehback in the cityyehback in the cityand I’m back in the streetsthat’s the answer hoeyehback in the cityyehRobitussin flowyehyehback in the cityand I’m back in the streets
AREA21,La La La,2021.04.09,랩/힙합,Ooh oh whatTelling me I need to changebut what do they knowI don't give what made them thinkthey have say soEverybody's such an angelwith the haloYeah right I don't think soTalking 'bout my lifebut they don't know meWhy would they expectI'll let them control meWhen they criticize meI don't listenThey don't realizeI like to be differentAll they do isla la la la la la la laTalking in my earbut I do not wanna hearI be likela la la la la la la laGet up out my face give me spacegive me spacePeople sayingI should switch it upbut why thoughThey don't get it I admit itI'm a psychoLike I need itthey're praying for survivorHell no I don't think soTalking 'bout my lifebut they don't know meWhy would they expectI'll let them control meWhen they criticize meI don't listenThey don't realizeI like to be differentAll they do isla la la la la la la laTalking in my earbut I do not wanna hearI be likela la la la la la la laGet up off my face give me spacegive me spaceSometimes they're saying that I'mOut of my mind out of my mindBut I'm just livin' my lifeDoin' just fine doin' just fineSometimes they're saying that I'mOut of my mind out of my mindBut I'm just livin' my lifeDoin' just fine doin' just fineListen up you do you we doin' usQuit the hate where is the loveI can never get enough 'noughWhy oh whyare you talking 'bout my lifeI need quiet in my mindBut sometimes it's likeAll they do isla la la la la la la laTalking in my earbut I do not wanna hearI be likela la la la la la la laGet up out my face give me spacegive me space
Nicki Minaj,Barbie Tingz,2018.04.12,랩/힙합,no lyrics
WizTheMc,World Is Fucked,2021.04.02,랩/힙합,I know that the world is fuckedBut look outside the sun shinesI know that the world needs loveSo I'ma make you smileBeen thinking 'bout a petNeed a place and a catNeed a big ass roomSo there's space for my headAnd space for hers For hersI need me my own world yeahOwn worldPink walls yellow chairs delicateYour heart full of thisHaven't missed a singlepart of your smileI don't wanna lie to you my babyI just wanna say Wanna sayI don't wanna lie to you my babyI just wanna say Wanna sayI know that the world is fuckedSo fuckedBut look outside the sun shinesSun shinesI know that the world needs loveSo I'ma make you smileI'm not gon' frontI'ma tell you what it isWon't sell myself short'cause I got lots to giveBaby what do you feelwhen you breathe inBreathe inWhat do you wish from this eveningWhat do you want or needTell me thingsWorld 'bout to endso let loving freeOh pardon mejust for the way I speakA part of me just can't lie to youI don't wanna lie to you my babyI just wanna say Wanna sayI don't wanna lie to you my babyI just wanna say Wanna sayI know that the world is fuckedSo fuckedBut look outside the sun shinesYeah ayyI know that the world needs loveSo I'ma make you smile
