가수,제목,발매일,장르,가사
Marteen,Sriracha,2018.02.23,POP,You know baby I been meaningto tell you somethingfor a while nowIt's really been weighing on meI just gotta let you know thatGirl you got a body like srirachaEvery time I bring you roundthe homies wanna watch yaGot it from yo mamabut that ain't what she taught yaAyeThat's why I call youlil racha aye ayeGirl you got a body like srirachaEverytime I bring you roundthe homies wanna watch yaGot it from yo mamabut that ain't what she taught yaThat's why I call you lil rachaWhen you come aroundYou spice it up ayeEvery time you come aroundyou know you spice it up ayeWhen you come aroundyou spice it up ayeNever turn it down you knowhow to spice it upLove your recipe put me onwhat's your secretThem ingredients you got girlthat's just my weaknessYa hotter than the summer babyI knowYou my lil rachaShinin like a rhinestoneGirl you stuntin on emSetting fire on emYou the type I wanna putthat on everythingGirl you got it goinEverybody know itYou the wild typeThat's just what I likeGirl you got a body like srirachaEvery time I bring you roundthe homies wanna watch yaGot it from yo mamabut that ain't what she taught yaAyeThat's why I call youlil racha aye ayeGirl you got a body like srirachaEverytime I bring you roundthe homies wanna watch yaGot it from yo mamabut that ain't what she taught yaThat's why I call you lil rachaWhen you come aroundYou spice it up ayeEvery time you come aroundyou know you spice it up ayeWhen you come aroundyou spice it up ayeNever turn it down you knowhow to spice it upGet up on it right awayDinners warm my appetites readyCinnamon caramel yeahI love the tasteBut nothin can takethe place of my little rachaGirl you stuntin on emSetting fire on emYou the type I wanna putthat on everythingGirl you got it goinEverybody know itYou the wild typeThat's just what I likeGirl you got a body like srirachaEvery time I bring you roundthe homies wanna watch yaGot it from yo mamabut that ain't what she taught yaAyeThat's why I call youlil racha aye ayeGirl you got a body like srirachaEverytime I bring you roundthe homies wanna watch yaGot it from yo mamabut that ain't what she taught yaThat's why I call you lil rachaWhen you come aroundYou spice it up ayeEvery time you come aroundyou know you spice it up ayeWhen you come aroundyou spice it up ayeNever turn it down you knowhow to spice it up
JP Saxe,"Hey Stupid, I Love You",2020.06.25,POP,Nothing's wrongAnd it's not what I'm used toOh does it surprise you tooWhen it's simpleIs it easier than it should beNothing's wrongBut when you're not in my armsI send voice notesyou send heartsAnd get quietAnd I know that means you miss meYou're jealous you shouldn't beI want you obsessivelyBut I knowhow complicated it can getWhen you're not in front of meI know insecuritiesGet in your headBut I'm not gonna interruptIf you need to talk about itRoll my eyes or get offended byThe way you doubt itYou know you're mineYou just forget sometimesSo promise me you won'tAnd you know I'll remind youWhen you think I don'tHey stupid I love youHey stupid I love youNothing's wrongI just get in my head tooCan you reassure me youYou're still in itI just wish you could leanin and kiss me sayNothing's wrongTell me to settle downYou do it betterthan I've ever known howI won't pull some tricksfor attentionBut could I get a little nowI'm not gonna interruptIf you need to talk about itRoll my eyes or get offended byThe way you doubt itYou know you're mineYou just forget sometimesSo promise me you won'tAnd you know I'll remind youWhen you think I don'tHey stupid I love youHey stupid I love youYou're jealous you shouldn't beI want you obsessivelyBut I knowhow complicated it can getWhen you're not in front of meI know insecuritiesGet in your headBut I'm not gonna interruptIf you need to talk about itRoll my eyes or get offended byThe way you doubt itYou know you're mineYou just forget sometimesSo promise me you won'tAnd you know I'll remind youWhen you think I don'tHey stupid I love youHey stupid I love youHow could you forgetI told you 17 times before 7amI love youHow could you forgetI told you 17 timesHey stupid I love youHow could you forgetI told you 17 times before 7amI love youHow could you forgetI told you 17 timesHey stupid I love you
Tate McRae,you broke me first,2021.03.26,POP,You broke me firstMaybe you don't like talking too much about yourselfBut you should have told meThat you were thinking 'bout someone elseYou're drunk at a partyOr maybe it's just that your car broke downYour phone's been off for a couple of monthsSo you're calling me nowI know you you'll like thisWhen shit don't go your way you needed me to fix itAnd like me I didBut I ran out of every reasonNow suddenly you're asking for it backCould you tell me where'd you get the nerveYeah you could say you miss all that we hadBut I don't really care how bad it hurtsWhen you broke me firstYou broke me firstTook a while was in denial when I first heardThat you moved on quicker than I could've everYou know that hurtSwear for a while I would stare at my phoneJust to see your nameBut now that it's there I don't really know what to sayI know you you'll like thisWhen shit don't go your way you needed me to fix itAnd like me I didBut I ran out of every reasonNow suddenly you're asking for it backCould you tell me where'd you get the nerveYeah you could say you miss all that we hadBut I don't really care how bad it hurtsWhen you broke me firstYou broke me firstWhat did you think would happenWhat did you think would happenI'll never let you have itWhat did you think would happenNow suddenly you're asking for it backCould you tell me where'd you get the nerveYeah you could say you miss all that we hadBut I don't really care how bad it hurtsWhen you broke me firstYou broke me first You broke me firstYou broke me first ooh oh
Taylor Swift,Style,2014.01.01,POP,Midnightyou come and pick me upNo head lightsLong drivecould end in burning flamesor paradise Fading off youit's been a while sinceI have even heard from you I should just tell youto leave cause I Know exactly where it leads but I Watch us go roundand round each time You got that James Deanday dream look in your eye And I got that red lipclassic thing that you like And when we go crashing downwe come back every timeCause we never go out of style We never go out of styleYou got that long hairslicked back white t shirtAnd I got that good girl thingand a tight little skirtAnd when we go crashing downwe come back in every timeCause we never go out of styleWe never go out of styleSo it goesHe can't keep hiswild eyes on the roadTakes me homeLights are offhe's taking off his coatI say I heard that you been outand about with some other girlSome other girlHe says what you've heard is true but ICan't stop thinking about you and II said I've been theretoo a few timesCause you got that James Deanday dream look in your eyeAnd I got that red lipclassic thing that you likeAnd when we go crashing downwe come back every timeCause we never go out of styleWe never go out of styleYou got that long hairslicked back white t shirtAnd I got that good girl thingand a tight little skirtAnd when we go crashing downwe come back in every timeCause we never go out of styleWe never go out of styleTake me homeJust take me homeJust take me homeout of styleYou got that James Deanday dream look in your eyeAnd I got that red lipclassic thing that you likeAnd when we go crashing downwe come back every timeCause we never go out of styleWe never go out of style
Little Mix,Holiday,2020.07.24,POP,Boy have I told ya I swear you put the sun up in my skyWhen it's cold you pull me closerSo hot it's like the middle of July July Wanna have a little taste so let me lay you down Lay you Nothing better than your skin on mine Skin on mine And I been looking for the feeling looking all my lifeBoy you give it to me every timeCan we make it all night We don't stop all up on my body babe oohTouch me like a summer night you feel like a holiday ooh-oohUp all night we don't stop feel up on my body babeWe're just dancing the night awayBoy you feel like a holidaySo I'mma let goNo one else in the world could ever come close to you baby Uh-uh Close to you baby Uh-uh We're taking it slowWhenever wherever we're lasting forever my baby Uh-uh And you're turning me on Uh uh-uh Boy have I told ya You give it to me like no other guyWe got that heat yeah like the summer Summer And that's why I'm so glad I made you mineWanna have a little taste so let me lay you down Lay you Nothing better than your skin on mine Skin on mine And I been looking for the feeling looking all my lifeBoy you give it to me every timeCan we make it all night We don't stop feel up on my body babe ooh-oohTouch me like a summer night you feel like a holiday ooh-oohUp all night we don't stop feel up on my body babeWe're just dancing the night awayBoy you feel like a holidaySo I'mma let goNo one else in the world could ever come close to you baby Close to you baby Close to you baby Close to you baby We're taking it slowWhenever wherever we’re lasting forever my baby Uh-uh And you're turning me on Uh uh-uh So put your love on me up on meOh boy I love you when you're touching me holding meNo way nobody put that thing on me up on me like you doFeel like a holiday Uh uh-uh You know that I want it babe Uh uh-uh Can we make it all night We don't stop all up on my body babe ooh-oohTouch me like a summer night you feel like a holiday Holiday yeah ooh-oohUp all night we don't stop feel up on my body babeWe're just dancing the night awayBoy you feel like a holiday Yeah So I'mma let goNo one else in the world could ever come close to you baby Close to you baby Close to you baby Close to you baby We're taking it slow SlowWhenever wherever we’re lasting forever my baby Uh-uh And you're turning me on Uh uh-uh Turning me on ye
Taylor Swift,You Need To Calm Down,2019.06.14,POP,You are somebody that I don't knowBut you're takin' shots at melike it's PatronAnd I'm just like damn it's 7 AMSay it in the streetthat's a knock outBut you say it in a Tweetthat's a cop outAnd I'm just likeHey are you okayAnd I ain't tryna messwith your self expressionBut I've learned a lessonthat stressin' and obsessin''bout somebody else is no funAnd snakes and stonesnever broke my bonesSo oh oh oh ohoh oh oh oh oh ohYou need to calm downyou're being too loudAnd I'm just like oh ohoh oh oh oh oh oh oh oh OhYou need to just stoplike can you just not stepon my gownYou need to calm downYou are somebodythat we don't knowBut you're comin' at my friendslike a missileWhy are you madwhen you could be GLAADYou could be GLAADSunshine on the streetat the paradeBut you would rather bein the dark agesMakin' that sign must'vetaken all nightYou just needto take several seatsand then try to restore the peaceAnd control your urges to screamabout all the people you hate'Cause shade never madeanybody less gaySo oh oh oh ohoh oh oh oh oh ohYou need to calm downyou're being too loudAnd I'm just like oh ohoh oh oh oh oh oh oh oh OhYou need to just stoplike can you just not stepon his gownYou need to calm downAnd we see you over thereon the internetComparing all the girlswho are killing itBut we figured you outWe all know nowwe all got crownsYou need to calm downOh oh oh ohoh oh oh oh oh ohYou need to calm downYou need to calm downYou're being too loudYou're being too loudAnd I'm like oh oh oh ohoh oh oh oh oh oh OhYou need to just stopCan you stopLike can you just not stepon our gownsYou need to calm down
Gracie Abrams,Stay,2019.11.21,POP,You told me something when I left but I don't rememberMaybe 'cause all I could do then was stare at the floorI held myself 'cause you wouldn't all wrapped in my sweatshirtWonder if you even noticed that that one was yoursWhen maybe I should've but I never told you I'm sorryKnow that I tried but my words always got in the wayCould you hold me without any talkingWe could try to go back where we startedI don't even have to stayI don't even have to stay butIf I woke up with you in the morningI'd forget all the ways that we're brokenI don't care if you've changedI don't even have to stayI don't remember the last time I heard from your sisterDidn't expect to but I sorta thought that I wouldWish I could tell you by now that I felt more indifferentCatch myself thinking about you more than I shouldAnd maybe I should've but I never told you I miss youI almost said it but don't know if you feel the sameCould you hold me without any talkingWe could try to go back where we startedI don't even have to stayI don't even have to stay butIf I woke up with you in the morningI'd forget all the ways that we're brokenI don't care if you've changedI don't even have to stay
OuYang Nana,The Best For You,2020.06.09,POP,One day I knewthis wasn’t fixableI still want youBut I won’t be in thisYou don’t want toYou don’t want toOpen upOoohThis how it startsFighting bout nothingAnd going too farI just can’t look now we’reFalling apartIn my armsOooh OoohI must confessYou made a messWe got regretsSaying things we never meantTryna get into each other headsSomehow I still got loveAfter all that you’ve doneSwear no matter what we doI still want the best for youCuz even when things seem badI wouldn’t change what we hadSwear no matter what you sayYea no matter what you doI still want the best for youLet’s just pretendWe could still make itThat this ain’t the endthat things could be differentThat we’ll still be friendswe’ll still be friendsthat’s a lieYou made a messWe got regretsSaying things we never meantTryna get into each other headsSomehow I still got loveAfter all that you’ve doneSwear no matter what we doI still want the best for youCuz even when things seem badI wouldn’t change what we hadSwear no matter what you sayYea no matter what you doI still want the best for youstill want the best for youSwear no matter what you sayYea no matter what you dostill want the best for youSomehow I still got loveAfter all that you’ve doneSwear no matter what we doI still want the best for youCuz even when things seem badI wouldn’t change what we hadSwear no matter what you sayYea no matter what you doI still want the best for youstill want the best for youSwear no matter what you sayYea no matter what you dostill want the best for you
Ellie Goulding,Sixteen,2019.04.12,POP,Do you rememberwhen we moved outMy mum said I love youbut it's a small houseSo we changed up and saved upGave up our townWe were dangerouscouldn't tame usWhat's missing nowTimeSuddenly we got no timeWe're so busy doing lifeThat I miss your eyes on mineMineIf you just focus on meLike we were sixteenAnd plotting our livesCan I wear your t-shirtAnd sleep on youWhile I dream ofall the good timesWhen we were sixteenLike we were sixteenLike we were sixteenDo you remember the teacher saidYou're too youngtoo stupid don't lose your headBut years gone andwe held on with the best intentJust two kids who kicked it on MSNOh timeSuddenly we got no timeWe're so busy doing lifeThat I miss your eyes on mineMineIf you just focus on meLike we were sixteenAnd plotting our livesWhen we were plotting our livesCan I wear your t-shirtAnd sleep on youWhile I dream ofall the good timesWhen we were sixteenLike we were sixteenLike we were sixteenLet's take the love that we foundAnd give it back to ourselvesSometimes these thingsdon't work outSometimes there'll be no one elseThey said we'd nevereven make it this farBut here we areWe're still counting starsLike we were sixteenOh when we were sixteenWe're still counting starslike we were sixteenWe're still counting starslike we were sixteen
New Hope Club,Let Me Down Slow,2020.01.17,POP,Heaven knows we're out of luckI've been on the pointof giving upIf all is fair in war and loveThen why do we fightSomething ain't right Yeah‘Cause we don’t really talkabout life no moreI'm just here my owntryna laugh it offWhen the night comescrawling I'm holding onFor something to changetension to breakIt's about timeWhat are you hiding'Cause I got the right to knowThere's something differentin the way you lookWhat are you fightingIf you're gonna let me goIt's gonna hurtso choose your wordsBaby let me down slowLet me down let me downBaby let me down slowBaby let me down slowBaby let me down slowLet me down let me downBaby let me downWho was misguidedWho's to blameThe first to have the final sayIf love is just a wicked gameThen why do we playWhy do we play YeahAnd it hurts seeingyou tryna put me offTryna make me be the oneto break it off mmWhen the night comes crawlingI'm holding onFor something to changetension to breakIt's about timeWhat are you hiding'Cause I got the right to knowThere's something differentin the way you lookWhat are you fightingIf you're gonna let me goIt's gonna hurtso choose your wordsBaby let me down slowLet me down let me downBaby let me down slowBaby let me down slowBaby let me down slowLet me down let me downBaby let me downWhat are you hiding'Cause I got the right to knowKnowThere's something differentin the way you lookWhat are you fightingIf you're gonna let me goIt's gonna hurtso choose your wordsBaby let me down slow OhBaby let me down slowLet me down let me downlet me down slow
Lennon Stella,Summer Feelings (feat. Charlie Puth),2020.05.15,"POP, 애니메이션/웹툰",I hear the rhythm of waves hittin' on the shoreAnd I can swear they're speakin' speakin' speakin'They're tellin' me to relax I'm not good at thatBut now I know I need it need it need it'Cause I ooh now what you do My tan lines tell the truth  That's rightYeah on Venice beach got sand all in my shoes TonightOoh unlock me loose see the sunset from the roof That's rightYeah that crystal blue and it came out someone newYeah Good I'm in my summer feelingsAnd I'm trying to keep it co-oo-oo-olWait Up here in my summer feelingAnd I found a piece of me that I never knewYou got my heart and I'm head over heels in loveIn California dreamin' dreamin' dreamin' yeahTouchin' the stars and then draggin' them down to EarthThat California feelin' feelin' feelin' That's rightOh now what you do your brown eyes tell the truth That's right Yeah down on the beach I'm stayin' out late for you Tonight Oh unlock you loose see the sunset from the roof That's right Yeah you're good to me and it came out someone newHey gettin' in my summer feelings Summer feelings And I I'm trying to keep it co-oo-oo-olWait Up here in my summer feelingsAnd I I found a piece of me that I never knewI'm meltin' like ice creamThe stress is gone for meNowhere I'd rather be OhHey Yeah I'm in my summer feelingsAnd I I'm trying to keep it co-oo-oo-olWait Up here in my summer feelingsAnd I found a piece of me that I never knewHey gettin' in my summer feelingsAnd I I'm trying to keep the co-oo-oo-olWait Uh here in my summer feelingsAnd I found a piece of me that I never knew
Olivia Rodrigo,deja vu,2021.04.01,POP,Car rides to MalibuStrawberry ice creamone spoon for twoAnd tradin' jacketsLaughin' 'bout how smallit looks on youHa-ha-ha-ha ha-ha-ha-ha-haha-ha-ha-haWatching reruns of GleeBein' annoying singin' in harmonyI bet she's braggin'to all her friendssayin' you're so unique hmSo when you gonna tell herthat we did that tooShe thinks it's specialbut it's all reusedThat was our placeI found it firstI made the jokes you tell to herwhen she's with youDo you get deja vuwhen she's with youDo you get deja vu Ah hmmDo you get deja vu HuhDo you call heralmost say my name'Cause let's be honestwe kinda do sound the sameAnother actressI hate to thinkthat I was just your typeAnd I betthat she knows Billy Joel'Cause you played herUptown GirlYou're singin' it togetherNow I bet you even tell herhow you love herIn between the chorusand the verse OohSo when you gonna tell herthat we did that tooShe thinks it's specialbut it's all reusedThat was the show we talked aboutPlayed you the songsshe's singing nowwhen she's with youDo you get deja vuwhen she's with youDo you get deja vu Oh-ohDo you get deja vuStrawberry ice cream in MalibuDon't act like we didn't dothat shit tooYou're tradin' jacketslike we used to doYeah everything is all reusedPlay her pianobut she doesn't know Oh ohThat I was the onewho taught you Billy Joel OhA different girl nowbut there's nothing newI know you get deja vuI know you get deja vuI know you get deja vu
